"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2008C","2008/01/03","14.89","UGC 3611","06:57:11.53,06:57:11.469,06:57:11.52","+20:26:13.7,+20:26:13.58,+20:26:13.92,+20:26:13.56,+20:26:13.70","Ia","294","23","",""
"SN1990N","1990/06/23","12.44","NGC 4639","12:42:56.68,12:42:56.70,12:42:56.74","+13:15:23.4,+13:15:23.68,+13:15:24.01,+13:15:24.0,+13:15:23.7","Ia","291","18","",""
"SN2006le","2006/10/26","15.91","UGC 3218","05:00:41.99,05:00:41.904","+62:15:19.0,+62:15:18.72,+63:15:19.01","Ia","288","26","",""
"SN1980N","1980/12/07","12.28","NGC 1316","03:22:59,03:23:00.3,03:23:00.16","-37:12.8,-37:12:50.0,-37:12:49.7","Ia","288","7","0",""
"SN2008hs","2008/12/01","16.1","NGC 910","02:25:29.62,02:25:29.594,02:25:29.616","+41:50:35.1,+41:50:34.92,+41:50:35.16,+41:50:35.09","Ia","286","1","",""
"PS15bom","2015/07/30","15.84","SDSS J232637.05-0017","23:26:37.05,23:26:36.96","-00:17:23.0,-00:17:22.9992","Ia","285","1","",""
"SN1981B","1981/03/02","11.73","NGC 4536","12:34:29.57,12:34:29.58,12:34:29.5","+02:11:59.3,+02:11:59.35,+02:11:59.0","Ia","281","16","0",""
"SN1998de","1998/07/23","16.47","NGC 252","00:48:06.88","+27:37:28.5,+27:37:28.49","Ia Pec","280","10","",""
"SN2005ag","2005/02/10","18.2","2MASX J14564322+0919361","14:56:43.24,14:56:43.68,14:56:43.65","+09:19:35.7,+09:19:42.49,+09:19:42.5","Ia","277","5","",""
"SN2006hb","2006/09/27","15.53","MCG -04-12-34","05:02:01.28,05:02:1.27","-21:07:55.1,-21:07:55.20,-21:07:55.09","Ia","271","23","",""
"SN2004ey","2004/10/14","15.14","UGC 11816","21:49:07.81,21:49:07.92,21:49:7.92","+00:26:39.2,+00:26:39.1,+00:26:39.20,+00:26:39.19","Ia","269","7","",""
"SN2012hr","2012/12/16","13.71","ESO 121-G26","06:21:38.46,06:21:38.472","-59:42:50.6,-59:42:50.62,-59:42:50.76","Ia","269","14","",""
"SN2012cg","2012/05/17","11.7","NGC 4424","12:27:12.83","+09:25:13.2,+09:25:13.19","Ia","266","25","0",""
"SN2002cr","2002/05/01","13.8","NGC 5468","14:06:37.59","-05:26:21.9,-05:26:21.91","Ia","265","12","",""
"SN2006bt","2006/04/26","16.81","CGCG 108-013","15:56:33.81,15:56:30.48,15:56:30.53","+20:03:07.2,+20:02:45.60,+20:02:45.6","Ia Pec","260","14","",""
"SN2008Z","2008/02/07","16.16","SDSS J094315.36+361709.2","09:43:15.25,09:43:15.258,09:43:15.36","+36:17:03.9,+36:17:03.64,+36:17:03.84,+36:17:03.91","Ia","259","18","",""
"SN1937D","1937/09/09","10.5","NGC 1003","02:39:21.0,02:39:20.4,02:39:21.00","+40:52:20,+40:52:17.0,+40:52:20.0","Ia","259","1","",""
"SN1998aq","1998/04/13","11.7","NGC 3982","11:56:25.87,11:56:25.68,11:56:26.00,11:56:25.76","+55:07:43.2,+55:07:41.52,+55:07:38.78,+55:07:40.1","Ia","257","61","0",""
"SN2007hj","2007/09/01","15.48","NGC 7461","23:01:47.89,23:01:47.880","+15:35:11.4,+15:35:11.23,+15:35:11.40","Ia","254","22","",""
"SN1999dq","1999/09/02","14.43","NGC 976","02:33:59.68","+20:58:30.4,+20:58:30.40","Ia-91T","250","27","",""
"SN2006mr","2006/11/05","13.9","NGC 1316","03:22:42.84,03:22:43.03","-37:12:28.5,-37:12:29.16,-37:12:28.51","Ia Pec","249","15","",""
"SN2005hj","2005/10/26","17.7","SDSS J012648.45-011417.3","01:26:48.40,01:26:48.4,01:26:48.408,01:26:48.26,01:26:48.27","-01:14:17.2,-01:14:17,-01:14:17.232,-01:14:17.304,-01:14:17.268,-01:14:16.80,-01:14:16.8","Ia","248","11","",""
"SN2011by","2011/04/26","12.38","NGC 3972","11:55:45.56,11:55:45.6","+55:19:33.8,+55:19:33.24,+55:19:33.82","Ia","244","23","0",""
"SN2003fa","2003/06/01","16.4","ARK 527","17:44:07.72,17:44:07.728","+40:52:51.6,+40:52:51.60,+40:52:51.69","Ia","242","23","",""
"SN1995D","1995/02/10","12.6","NGC 2962","09:40:54.753,09:40:54.79,09:40:54.75","+05:08:26.16,+05:08:26.6,+05:08:26.20,+05:08:26.2","Ia","240","18","",""
"SN1996X","1996/04/12","12.71","NGC 5061","13:18:01.13","-26:50:45.3,-26:50:45.31","Ia","240","28","0",""
